r,t,y,DiscountedSalvageValue
REGION1,LNDOATHIBC1,2045,0.3697
REGION1,LNDOATHIBC1,2046,0.4016
REGION1,LNDOATHIBC1,2047,0.529
REGION1,LNDOATHIBC1,2048,0.4613
REGION1,LNDOATHIBC1,2049,0.4881
REGION1,LNDOATHIBC1,2050,0.573
REGION1,LNDOTHIIBC1,2037,0.1766
REGION1,LNDOTHIIBC1,2038,0.3152
REGION1,LNDOTHIIBC1,2039,0.592
REGION1,LNDOTHIIBC1,2040,0.4312
REGION1,LNDOTHIIBC1,2041,0.8721
REGION1,LNDOTHIIBC1,2042,1.0224
REGION1,LNDOTHIIBC1,2043,1.535
REGION1,LNDOTHIIBC1,2044,1.0955
REGION1,LNDOTHIIBC1,2045,1.8856
REGION1,LNDOTHIIBC1,2046,1.802
REGION1,LNDOTHIIBC1,2047,1.0101
REGION1,LNDOTHIIBC1,2048,1.9268
REGION1,LNDOTHIIBC1,2049,2.042
REGION1,LNDOTHIIBC1,2050,36.5599
REGION1,LNDPEAHIBC1,2037,0.0163
REGION1,LNDPEAHIBC1,2038,0.0159
REGION1,LNDPEAHIBC1,2039,0.0467
REGION1,LNDPEAHIBC1,2040,0.1487
REGION1,LNDPEAHIBC1,2041,0.1973
REGION1,LNDPEAHIBC1,2042,0.3182
REGION1,LNDPEAHIBC1,2043,0.2638
REGION1,LNDPEAHIBC1,2044,0.4054
REGION1,LNDPEAHIBC1,2045,0.3237
REGION1,LNDPEAHIBC1,2046,0.352
REGION1,LNDPEAHIBC1,2047,0.5207
REGION1,LNDPEAHIBC1,2048,0.4037
REGION1,LNDPEAHIBC1,2049,0.5892
REGION1,LNDPEAHIBC1,2050,0.451
REGION1,LNDPTWHIBC1,2037,0.0
REGION1,LNDPTWHIBC1,2040,0.0001
REGION1,LNDPTWHIBC1,2044,0.0002
REGION1,LNDPTWHIBC1,2047,0.0002
REGION1,LNDPTWHIBC1,2050,0.0043
REGION1,LNDRAPHIBC1,2037,0.0066
REGION1,LNDRAPHIBC1,2038,0.0259
REGION1,LNDRAPHIBC1,2039,0.0189
REGION1,LNDRAPHIBC1,2040,0.2245
REGION1,LNDRAPHIBC1,2041,0.367
REGION1,LNDRAPHIBC1,2042,0.395
REGION1,LNDRAPHIBC1,2043,0.4503
REGION1,LNDRAPHIBC1,2044,0.548
REGION1,LNDRAPHIBC1,2045,0.5531
REGION1,LNDRAPHIBC1,2046,0.601
REGION1,LNDRAPHIBC1,2047,0.7042
REGION1,LNDRAPHIBC1,2048,0.6899
REGION1,LNDRAPHIBC1,2049,0.7308
REGION1,LNDRAPHIBC1,2050,0.8393
REGION1,LNDRYEHRBC1,2047,0.0175
REGION1,LNDRYEHRBC1,2048,0.0249
REGION1,LNDRYEHRBC1,2049,0.0262
REGION1,LNDRYEHRBC1,2050,0.0277
REGION1,LNDWHEHRBC1,2037,0.0029
REGION1,LNDWHEHRBC1,2038,0.0056
REGION1,LNDWHEHRBC1,2039,0.0082
REGION1,LNDWHEHRBC1,2040,0.0106
REGION1,LNDWHEHRBC1,2041,0.013
REGION1,LNDWHEHRBC1,2042,0.0152
REGION1,LNDWHEHRBC1,2044,0.0194
REGION1,LNDWHEHRBC1,2045,0.0213
REGION1,LNDWHEHRBC1,2046,0.0774
REGION1,LNDWHEHRBC1,2047,0.5779
REGION1,LNDWHEHRBC1,2048,0.6163
REGION1,LNDWHEHRBC1,2049,0.6251
REGION1,LNDWHEHRBC1,2050,0.6884
REGION1,MINNGS,2020,0.872
REGION1,MINNGS,2024,0.0092
REGION1,MINNGS,2025,0.054
REGION1,MINNGS,2026,0.0789
REGION1,MINNGS,2027,0.0243
REGION1,MINNGS,2028,0.009
REGION1,MINNGS,2029,0.0096
REGION1,MINNGS,2030,0.0457
REGION1,MINNGS,2031,0.0634
REGION1,MINNGS,2032,0.042
REGION1,MINNGS,2033,0.0011
REGION1,MINNGS,2034,0.0018
REGION1,MINNGS,2035,0.0039
REGION1,MINNGS,2036,0.0042
REGION1,MINNGS,2037,0.0019
REGION1,MINNGS,2038,0.0025
REGION1,MINNGS,2039,0.0031
REGION1,MINNGS,2040,0.0032
REGION1,MINNGS,2041,0.0656
REGION1,MINNGS,2042,0.0174
REGION1,MINNGS,2043,0.0174
REGION1,MINNGS,2044,0.0174
REGION1,MINNGS,2045,0.0174
REGION1,MINNGS,2046,0.0174
REGION1,MINNGS,2047,0.0174
REGION1,MINNGS,2048,0.0174
REGION1,MINNGS,2049,0.0174
REGION1,MINNGS,2050,0.0174
REGION1,PWRHYDB13,2025,1102.3
REGION1,PWRWNDB09,2027,2.4395
REGION1,PWRWNDB09,2028,3.3418
REGION1,PWRWNDB09,2029,4.7342
REGION1,PWRWNDB09,2030,11.5844
REGION1,PWRWNDB09,2031,15.6712
REGION1,PWRWNDB09,2032,18.2018
REGION1,PWRWNDB09,2033,12.6349
REGION1,PWRWNDB09,2034,8.0334
REGION1,PWRWNDB09,2035,14.2308
REGION1,PWRWNDB09,2036,12.1917
REGION1,PWRWNDB09,2037,23.578
REGION1,PWRWNDB09,2038,32.157
REGION1,PWRWNDB09,2039,29.8609
REGION1,PWRWNDB09,2040,22.1961
REGION1,PWRWNDB09,2041,20.2456
REGION1,PWRWNDB09,2042,21.799
REGION1,PWRWNDB09,2043,45.7851
REGION1,PWRWNDB09,2044,23.4828
REGION1,PWRWNDB09,2045,157.9882
REGION1,PWRWNDB09,2046,62.6188
REGION1,PWRWNDB09,2047,63.2487
REGION1,PWRWNDB09,2048,68.1299
REGION1,PWRWNDB09,2049,80.1349
REGION1,PWRWNDB09,2050,27.7313
