r,l,t,m,y,RateOfActivity
REGION1,SEA4D,DEMAGRDSL,1,2032,22.9364
REGION1,SEA4N,DEMAGRDSL,1,2032,22.9364
REGION1,SEA1D,DEMAGRDSL,1,2033,23.5848
REGION1,SEA1N,DEMAGRDSL,1,2033,23.5848
REGION1,SEA2D,DEMAGRDSL,1,2033,23.5848
REGION1,SEA2N,DEMAGRDSL,1,2033,23.5848
REGION1,SEA3D,DEMAGRDSL,1,2033,23.5848
REGION1,SEA3N,DEMAGRDSL,1,2033,23.5848
REGION1,SEA4D,DEMAGRDSL,1,2033,23.5848
REGION1,SEA4N,DEMAGRDSL,1,2033,23.5848
REGION1,SEA1D,DEMAGRDSL,1,2034,24.2576
REGION1,SEA1N,DEMAGRDSL,1,2034,24.2576
REGION1,SEA2D,DEMAGRDSL,1,2034,24.2576
REGION1,SEA2N,DEMAGRDSL,1,2034,24.2576
REGION1,SEA3D,DEMAGRDSL,1,2034,24.2576
REGION1,SEA3N,DEMAGRDSL,1,2034,24.2576
REGION1,SEA4D,DEMAGRDSL,1,2034,24.2576
REGION1,SEA4N,DEMAGRDSL,1,2034,24.2576
REGION1,SEA1D,DEMAGRDSL,1,2035,24.9111
REGION1,SEA1N,DEMAGRDSL,1,2035,24.9111
REGION1,SEA2D,DEMAGRDSL,1,2035,24.9111
REGION1,SEA2N,DEMAGRDSL,1,2035,24.9111
REGION1,SEA3D,DEMAGRDSL,1,2035,24.9111
REGION1,SEA3N,DEMAGRDSL,1,2035,24.9111
REGION1,SEA4D,DEMAGRDSL,1,2035,24.9111
REGION1,SEA4N,DEMAGRDSL,1,2035,24.9111
REGION1,SEA1D,DEMAGRDSL,1,2036,25.5687
REGION1,SEA1N,DEMAGRDSL,1,2036,25.5687
REGION1,SEA2D,DEMAGRDSL,1,2036,25.5687
REGION1,SEA2N,DEMAGRDSL,1,2036,25.5687
REGION1,SEA3D,DEMAGRDSL,1,2036,25.5687
REGION1,SEA3N,DEMAGRDSL,1,2036,25.5687
REGION1,SEA4D,DEMAGRDSL,1,2036,25.5687
REGION1,SEA4N,DEMAGRDSL,1,2036,25.5687
REGION1,SEA1D,DEMAGRDSL,1,2037,26.2283
REGION1,SEA1N,DEMAGRDSL,1,2037,26.2283
REGION1,SEA2D,DEMAGRDSL,1,2037,26.2283
REGION1,SEA2N,DEMAGRDSL,1,2037,26.2283
REGION1,SEA3D,DEMAGRDSL,1,2037,26.2283
REGION1,SEA3N,DEMAGRDSL,1,2037,26.2283
REGION1,SEA4D,DEMAGRDSL,1,2037,26.2283
REGION1,SEA4N,DEMAGRDSL,1,2037,26.2283
REGION1,SEA1D,DEMAGRDSL,1,2038,26.8899
REGION1,SEA1N,DEMAGRDSL,1,2038,26.8899
REGION1,SEA2D,DEMAGRDSL,1,2038,26.8899
REGION1,SEA2N,DEMAGRDSL,1,2038,26.8899
REGION1,SEA3D,DEMAGRDSL,1,2038,26.8899
REGION1,SEA3N,DEMAGRDSL,1,2038,26.8899
REGION1,SEA4D,DEMAGRDSL,1,2038,26.8899
REGION1,SEA4N,DEMAGRDSL,1,2038,26.8899
REGION1,SEA1D,DEMAGRDSL,1,2039,27.5455
REGION1,SEA1N,DEMAGRDSL,1,2039,27.5455
REGION1,SEA2D,DEMAGRDSL,1,2039,27.5455
REGION1,SEA2N,DEMAGRDSL,1,2039,27.5455
REGION1,SEA3D,DEMAGRDSL,1,2039,27.5455
REGION1,SEA3N,DEMAGRDSL,1,2039,27.5455
REGION1,SEA4D,DEMAGRDSL,1,2039,27.5455
REGION1,SEA4N,DEMAGRDSL,1,2039,27.5455
REGION1,SEA1D,DEMAGRDSL,1,2040,28.2061
REGION1,SEA1N,DEMAGRDSL,1,2040,28.2061
REGION1,SEA2D,DEMAGRDSL,1,2040,28.2061
REGION1,SEA2N,DEMAGRDSL,1,2040,28.2061
REGION1,SEA3D,DEMAGRDSL,1,2040,28.2061
REGION1,SEA3N,DEMAGRDSL,1,2040,28.2061
REGION1,SEA4D,DEMAGRDSL,1,2040,28.2061
REGION1,SEA4N,DEMAGRDSL,1,2040,28.2061
REGION1,SEA1D,DEMAGRDSL,1,2041,28.8646
REGION1,SEA1N,DEMAGRDSL,1,2041,28.8646
REGION1,SEA2D,DEMAGRDSL,1,2041,28.8646
REGION1,SEA2N,DEMAGRDSL,1,2041,28.8646
REGION1,SEA3D,DEMAGRDSL,1,2041,28.8646
REGION1,SEA3N,DEMAGRDSL,1,2041,28.8646
REGION1,SEA4D,DEMAGRDSL,1,2041,28.8646
REGION1,SEA4N,DEMAGRDSL,1,2041,28.8646
REGION1,SEA1D,DEMAGRDSL,1,2042,29.5232
REGION1,SEA1N,DEMAGRDSL,1,2042,29.5232
REGION1,SEA2D,DEMAGRDSL,1,2042,29.5232
REGION1,SEA2N,DEMAGRDSL,1,2042,29.5232
REGION1,SEA3D,DEMAGRDSL,1,2042,29.5232
REGION1,SEA3N,DEMAGRDSL,1,2042,29.5232
REGION1,SEA4D,DEMAGRDSL,1,2042,29.5232
REGION1,SEA4N,DEMAGRDSL,1,2042,29.5232
REGION1,SEA1D,DEMAGRDSL,1,2043,30.1818
REGION1,SEA1N,DEMAGRDSL,1,2043,30.1818
REGION1,SEA2D,DEMAGRDSL,1,2043,30.1818
REGION1,SEA2N,DEMAGRDSL,1,2043,30.1818
REGION1,SEA3D,DEMAGRDSL,1,2043,30.1818
REGION1,SEA3N,DEMAGRDSL,1,2043,30.1818
REGION1,SEA4D,DEMAGRDSL,1,2043,30.1818
REGION1,SEA4N,DEMAGRDSL,1,2043,30.1818
REGION1,SEA1D,DEMAGRDSL,1,2044,30.8414
REGION1,SEA1N,DEMAGRDSL,1,2044,30.8414
REGION1,SEA2D,DEMAGRDSL,1,2044,30.8414
REGION1,SEA2N,DEMAGRDSL,1,2044,30.8414
REGION1,SEA3D,DEMAGRDSL,1,2044,30.8414
REGION1,SEA3N,DEMAGRDSL,1,2044,30.8414
REGION1,SEA4D,DEMAGRDSL,1,2044,30.8414
REGION1,SEA4N,DEMAGRDSL,1,2044,30.8414
REGION1,SEA1D,DEMAGRDSL,1,2045,31.5
REGION1,SEA1N,DEMAGRDSL,1,2045,31.5
REGION1,SEA2D,DEMAGRDSL,1,2045,31.5
REGION1,SEA2N,DEMAGRDSL,1,2045,31.5
REGION1,SEA3D,DEMAGRDSL,1,2045,31.5
REGION1,SEA3N,DEMAGRDSL,1,2045,31.5
REGION1,SEA4D,DEMAGRDSL,1,2045,31.5
REGION1,SEA4N,DEMAGRDSL,1,2045,31.5
REGION1,SEA1D,DEMAGRDSL,1,2046,32.1586
REGION1,SEA1N,DEMAGRDSL,1,2046,32.1586
REGION1,SEA2D,DEMAGRDSL,1,2046,32.1586
REGION1,SEA2N,DEMAGRDSL,1,2046,32.1586
REGION1,SEA3D,DEMAGRDSL,1,2046,32.1586
REGION1,SEA3N,DEMAGRDSL,1,2046,32.1586
REGION1,SEA4D,DEMAGRDSL,1,2046,32.1586
REGION1,SEA4N,DEMAGRDSL,1,2046,32.1586
REGION1,SEA1D,DEMAGRDSL,1,2047,32.8182
REGION1,SEA1N,DEMAGRDSL,1,2047,32.8182
REGION1,SEA2D,DEMAGRDSL,1,2047,32.8182
REGION1,SEA2N,DEMAGRDSL,1,2047,32.8182
REGION1,SEA3D,DEMAGRDSL,1,2047,32.8182
REGION1,SEA3N,DEMAGRDSL,1,2047,32.8182
REGION1,SEA4D,DEMAGRDSL,1,2047,32.8182
REGION1,SEA4N,DEMAGRDSL,1,2047,32.8182
REGION1,SEA1D,DEMAGRDSL,1,2048,33.4768
REGION1,SEA1N,DEMAGRDSL,1,2048,33.4768
REGION1,SEA2D,DEMAGRDSL,1,2048,33.4768
REGION1,SEA2N,DEMAGRDSL,1,2048,33.4768
REGION1,SEA3D,DEMAGRDSL,1,2048,33.4768
REGION1,SEA3N,DEMAGRDSL,1,2048,33.4768
REGION1,SEA4D,DEMAGRDSL,1,2048,33.4768
REGION1,SEA4N,DEMAGRDSL,1,2048,33.4768
REGION1,SEA1D,DEMAGRDSL,1,2049,34.1354
REGION1,SEA1N,DEMAGRDSL,1,2049,34.1354
REGION1,SEA2D,DEMAGRDSL,1,2049,34.1354
REGION1,SEA2N,DEMAGRDSL,1,2049,34.1354
REGION1,SEA3D,DEMAGRDSL,1,2049,34.1354
REGION1,SEA3N,DEMAGRDSL,1,2049,34.1354
REGION1,SEA4D,DEMAGRDSL,1,2049,34.1354
REGION1,SEA4N,DEMAGRDSL,1,2049,34.1354
REGION1,SEA1D,DEMAGRDSL,1,2050,34.7949
REGION1,SEA1N,DEMAGRDSL,1,2050,34.7949
REGION1,SEA2D,DEMAGRDSL,1,2050,34.7949
REGION1,SEA2N,DEMAGRDSL,1,2050,34.7949
REGION1,SEA3D,DEMAGRDSL,1,2050,34.7949
REGION1,SEA3N,DEMAGRDSL,1,2050,34.7949
REGION1,SEA4D,DEMAGRDSL,1,2050,34.7949
REGION1,SEA4N,DEMAGRDSL,1,2050,34.7949
REGION1,SEA1D,DEMAGRGWTBC1,1,2020,0.3492
REGION1,SEA1N,DEMAGRGWTBC1,1,2020,0.3492
REGION1,SEA2D,DEMAGRGWTBC1,1,2020,0.3492
REGION1,SEA2N,DEMAGRGWTBC1,1,2020,0.3492
REGION1,SEA3D,DEMAGRGWTBC1,1,2020,0.3492
REGION1,SEA3N,DEMAGRGWTBC1,1,2020,0.3492
REGION1,SEA4D,DEMAGRGWTBC1,1,2020,0.3492
REGION1,SEA4N,DEMAGRGWTBC1,1,2020,0.3492
REGION1,SEA1D,DEMAGRGWTBC1,1,2021,0.4223
REGION1,SEA1N,DEMAGRGWTBC1,1,2021,0.4223
REGION1,SEA2D,DEMAGRGWTBC1,1,2021,0.4223
REGION1,SEA2N,DEMAGRGWTBC1,1,2021,0.4223
REGION1,SEA3D,DEMAGRGWTBC1,1,2021,0.4223
REGION1,SEA3N,DEMAGRGWTBC1,1,2021,0.4223
REGION1,SEA4D,DEMAGRGWTBC1,1,2021,0.4223
REGION1,SEA4N,DEMAGRGWTBC1,1,2021,0.4223
REGION1,SEA1D,DEMAGRGWTBC1,1,2023,0.4279
REGION1,SEA1N,DEMAGRGWTBC1,1,2023,0.4279
REGION1,SEA2D,DEMAGRGWTBC1,1,2023,0.4279
REGION1,SEA2N,DEMAGRGWTBC1,1,2023,0.4279
REGION1,SEA3D,DEMAGRGWTBC1,1,2023,0.4279
REGION1,SEA3N,DEMAGRGWTBC1,1,2023,0.4279
REGION1,SEA4D,DEMAGRGWTBC1,1,2023,0.4279
REGION1,SEA4N,DEMAGRGWTBC1,1,2023,0.4279
REGION1,SEA1D,DEMAGRGWTBC1,1,2024,0.4339
REGION1,SEA1N,DEMAGRGWTBC1,1,2024,0.4339
REGION1,SEA2D,DEMAGRGWTBC1,1,2024,0.4339
REGION1,SEA2N,DEMAGRGWTBC1,1,2024,0.4339
REGION1,SEA3D,DEMAGRGWTBC1,1,2024,0.4339
REGION1,SEA3N,DEMAGRGWTBC1,1,2024,0.4339
REGION1,SEA4D,DEMAGRGWTBC1,1,2024,0.4339
REGION1,SEA4N,DEMAGRGWTBC1,1,2024,0.4339
REGION1,SEA1D,DEMAGRGWTBC1,1,2025,0.4356
REGION1,SEA1N,DEMAGRGWTBC1,1,2025,0.4356
REGION1,SEA2D,DEMAGRGWTBC1,1,2025,0.4356
REGION1,SEA2N,DEMAGRGWTBC1,1,2025,0.4356
REGION1,SEA3D,DEMAGRGWTBC1,1,2025,0.4356
REGION1,SEA3N,DEMAGRGWTBC1,1,2025,0.4356
REGION1,SEA4D,DEMAGRGWTBC1,1,2025,0.4356
REGION1,SEA4N,DEMAGRGWTBC1,1,2025,0.4356
REGION1,SEA1D,DEMAGRGWTBC1,1,2027,0.4532
REGION1,SEA1N,DEMAGRGWTBC1,1,2027,0.4532
REGION1,SEA2D,DEMAGRGWTBC1,1,2027,0.4532
REGION1,SEA2N,DEMAGRGWTBC1,1,2027,0.4532
REGION1,SEA3D,DEMAGRGWTBC1,1,2027,0.4532
REGION1,SEA3N,DEMAGRGWTBC1,1,2027,0.4532
REGION1,SEA4D,DEMAGRGWTBC1,1,2027,0.4532
REGION1,SEA4N,DEMAGRGWTBC1,1,2027,0.4532
REGION1,SEA1D,DEMAGRGWTBC1,1,2028,0.4661
REGION1,SEA1N,DEMAGRGWTBC1,1,2028,0.4661
REGION1,SEA2D,DEMAGRGWTBC1,1,2028,0.4661
REGION1,SEA2N,DEMAGRGWTBC1,1,2028,0.4661
REGION1,SEA3D,DEMAGRGWTBC1,1,2028,0.4661
REGION1,SEA3N,DEMAGRGWTBC1,1,2028,0.4661
REGION1,SEA4D,DEMAGRGWTBC1,1,2028,0.4661
REGION1,SEA4N,DEMAGRGWTBC1,1,2028,0.4661
REGION1,SEA1D,DEMAGRGWTBC1,1,2029,0.4743
REGION1,SEA1N,DEMAGRGWTBC1,1,2029,0.4743
REGION1,SEA2D,DEMAGRGWTBC1,1,2029,0.4743
REGION1,SEA2N,DEMAGRGWTBC1,1,2029,0.4743
REGION1,SEA3D,DEMAGRGWTBC1,1,2029,0.4743
REGION1,SEA3N,DEMAGRGWTBC1,1,2029,0.4743
REGION1,SEA4D,DEMAGRGWTBC1,1,2029,0.4743
REGION1,SEA4N,DEMAGRGWTBC1,1,2029,0.4743
REGION1,SEA1D,DEMAGRGWTBC1,1,2030,0.4861
REGION1,SEA1N,DEMAGRGWTBC1,1,2030,0.4861
REGION1,SEA2D,DEMAGRGWTBC1,1,2030,0.4861
REGION1,SEA2N,DEMAGRGWTBC1,1,2030,0.4861
REGION1,SEA3D,DEMAGRGWTBC1,1,2030,0.4861
REGION1,SEA3N,DEMAGRGWTBC1,1,2030,0.4861
REGION1,SEA4D,DEMAGRGWTBC1,1,2030,0.4861
REGION1,SEA4N,DEMAGRGWTBC1,1,2030,0.4861
REGION1,SEA1D,DEMAGRGWTBC1,1,2031,0.4973
REGION1,SEA1N,DEMAGRGWTBC1,1,2031,0.4973
REGION1,SEA2D,DEMAGRGWTBC1,1,2031,0.4973
REGION1,SEA2N,DEMAGRGWTBC1,1,2031,0.4973
REGION1,SEA3D,DEMAGRGWTBC1,1,2031,0.4973
REGION1,SEA3N,DEMAGRGWTBC1,1,2031,0.4973
REGION1,SEA4D,DEMAGRGWTBC1,1,2031,0.4973
REGION1,SEA4N,DEMAGRGWTBC1,1,2031,0.4973
REGION1,SEA1D,DEMAGRGWTBC1,1,2032,0.5004
REGION1,SEA1N,DEMAGRGWTBC1,1,2032,0.5004
REGION1,SEA2D,DEMAGRGWTBC1,1,2032,0.5004
REGION1,SEA2N,DEMAGRGWTBC1,1,2032,0.5004
REGION1,SEA3D,DEMAGRGWTBC1,1,2032,0.5004
REGION1,SEA3N,DEMAGRGWTBC1,1,2032,0.5004
REGION1,SEA4D,DEMAGRGWTBC1,1,2032,0.5004
REGION1,SEA4N,DEMAGRGWTBC1,1,2032,0.5004
REGION1,SEA1D,DEMAGRGWTBC1,1,2033,0.5098
REGION1,SEA1N,DEMAGRGWTBC1,1,2033,0.5098
REGION1,SEA2D,DEMAGRGWTBC1,1,2033,0.5098
REGION1,SEA2N,DEMAGRGWTBC1,1,2033,0.5098
REGION1,SEA3D,DEMAGRGWTBC1,1,2033,0.5098
REGION1,SEA3N,DEMAGRGWTBC1,1,2033,0.5098
REGION1,SEA4D,DEMAGRGWTBC1,1,2033,0.5098
REGION1,SEA4N,DEMAGRGWTBC1,1,2033,0.5098
REGION1,SEA1D,DEMAGRGWTBC1,1,2034,0.5183
