r,t,y,DiscountedTechnologyEmissionsPenalty
REGION1,DEMCOMNGS,2049,223.9046
REGION1,DEMCOMNGS,2050,215.2234
REGION1,DEMINDBIO,2020,491.9766
REGION1,DEMINDBIO,2021,470.4522
REGION1,DEMINDBIO,2022,499.1651
REGION1,DEMINDBIO,2023,620.7374
REGION1,DEMINDBIO,2024,731.2461
REGION1,DEMINDBIO,2025,824.462
REGION1,DEMINDBIO,2026,907.9476
REGION1,DEMINDBIO,2027,982.0204
REGION1,DEMINDBIO,2028,1046.5822
REGION1,DEMINDBIO,2029,1099.4438
REGION1,DEMINDBIO,2030,1142.9308
REGION1,DEMINDBIO,2031,1081.7834
REGION1,DEMINDBIO,2032,1022.8979
REGION1,DEMINDBIO,2033,966.3053
REGION1,DEMINDBIO,2034,911.4339
REGION1,DEMINDBIO,2035,860.8262
REGION1,DEMINDBIO,2036,812.8119
REGION1,DEMINDBIO,2037,767.469
REGION1,DEMINDBIO,2038,724.8427
REGION1,DEMINDBIO,2039,684.8575
REGION1,DEMINDBIO,2040,647.2118
REGION1,DEMINDBIO,2041,614.3163
REGION1,DEMINDBIO,2042,580.716
REGION1,DEMINDBIO,2043,548.9189
REGION1,DEMINDBIO,2044,518.8334
REGION1,DEMINDBIO,2045,490.3718
REGION1,DEMINDBIO,2046,463.4411
REGION1,DEMINDBIO,2047,437.9664
REGION1,DEMINDBIO,2048,413.864
REGION1,DEMINDBIO,2049,391.0668
REGION1,DEMINDBIO,2050,369.4996
REGION1,DEMINDDSL,2020,332.4627
REGION1,DEMINDDSL,2021,315.6677
REGION1,DEMINDDSL,2022,331.723
REGION1,DEMINDDSL,2023,409.06
REGION1,DEMINDDSL,2024,481.1879
REGION1,DEMINDDSL,2025,548.3583
REGION1,DEMINDDSL,2026,611.9746
REGION1,DEMINDDSL,2027,669.4507
REGION1,DEMINDDSL,2028,718.2118
REGION1,DEMINDDSL,2029,757.4342
REGION1,DEMINDDSL,2030,791.8154
REGION1,DEMINDDSL,2031,755.9379
REGION1,DEMINDDSL,2032,722.9715
REGION1,DEMINDDSL,2033,689.3427
REGION1,DEMINDDSL,2034,656.8677
REGION1,DEMINDDSL,2035,626.3124
REGION1,DEMINDDSL,2036,597.6551
REGION1,DEMINDDSL,2037,571.0142
REGION1,DEMINDDSL,2038,546.277
REGION1,DEMINDDSL,2039,523.2884
REGION1,DEMINDDSL,2040,501.7741
REGION1,DEMINDDSL,2041,476.3671
REGION1,DEMINDDSL,2042,454.8666
REGION1,DEMINDDSL,2043,434.3373
REGION1,DEMINDDSL,2044,414.7282
REGION1,DEMINDDSL,2045,396.0017
REGION1,DEMINDDSL,2046,378.1215
REGION1,DEMINDDSL,2047,361.0431
REGION1,DEMINDDSL,2048,344.7368
REGION1,DEMINDDSL,2049,329.1619
REGION1,DEMINDDSL,2050,314.2887
REGION1,DEMINDNGS,2020,496.7045
REGION1,DEMINDNGS,2021,461.397
REGION1,DEMINDNGS,2022,476.2293
REGION1,DEMINDNGS,2023,583.3054
REGION1,DEMINDNGS,2024,715.0988
REGION1,DEMINDNGS,2025,887.2638
REGION1,DEMINDNGS,2026,1108.5829
REGION1,DEMINDNGS,2027,1234.8252
REGION1,DEMINDNGS,2028,1323.845
REGION1,DEMINDNGS,2029,1405.4549
REGION1,DEMINDNGS,2030,1560.9957
REGION1,DEMINDNGS,2031,1612.3483
REGION1,DEMINDNGS,2032,1610.2433
REGION1,DEMINDNGS,2033,1528.2545
REGION1,DEMINDNGS,2034,1451.7715
REGION1,DEMINDNGS,2035,1383.2817
REGION1,DEMINDNGS,2036,1317.3347
REGION1,DEMINDNGS,2037,1253.3302
REGION1,DEMINDNGS,2038,1193.6131
REGION1,DEMINDNGS,2039,1137.633
REGION1,DEMINDNGS,2040,1084.4979
REGION1,DEMINDNGS,2041,1103.0511
REGION1,DEMINDNGS,2042,1066.1178
REGION1,DEMINDNGS,2043,1030.2006
REGION1,DEMINDNGS,2044,995.2867
REGION1,DEMINDNGS,2045,961.3618
REGION1,DEMINDNGS,2046,928.411
REGION1,DEMINDNGS,2047,896.4184
REGION1,DEMINDNGS,2048,865.3675
REGION1,DEMINDNGS,2049,835.2411
REGION1,DEMINDNGS,2050,806.0216
REGION1,DEMRESBIO,2020,39.9016
REGION1,DEMRESBIO,2021,38.7335
REGION1,DEMRESBIO,2022,41.6694
REGION1,DEMRESBIO,2023,52.6263
REGION1,DEMRESBIO,2024,62.9454
REGION1,DEMRESBIO,2025,72.5104
REGION1,DEMRESBIO,2026,81.3631
REGION1,DEMRESBIO,2027,89.3298
REGION1,DEMRESBIO,2028,96.7092
REGION1,DEMRESBIO,2029,103.3373
REGION1,DEMRESBIO,2030,109.0101
REGION1,DEMRESBIO,2031,104.8377
REGION1,DEMRESBIO,2032,100.8154
REGION1,DEMRESBIO,2033,96.6921
REGION1,DEMRESBIO,2034,92.7916
REGION1,DEMRESBIO,2035,88.8757
REGION1,DEMRESBIO,2036,84.9095
REGION1,DEMRESBIO,2037,81.0182
REGION1,DEMRESBIO,2038,77.2085
REGION1,DEMRESBIO,2039,73.44
REGION1,DEMRESBIO,2040,69.8553
REGION1,DEMRESBIO,2041,66.3037
REGION1,DEMRESBIO,2042,63.4799
REGION1,DEMRESBIO,2043,60.7784
REGION1,DEMRESBIO,2044,58.1903
REGION1,DEMRESBIO,2045,55.7074
REGION1,DEMRESBIO,2046,53.3323
REGION1,DEMRESBIO,2047,51.0539
REGION1,DEMRESBIO,2048,48.8746
REGION1,DEMRESBIO,2049,46.7871
REGION1,DEMRESBIO,2050,44.7848
REGION1,DEMRESKER,2020,2.6376
REGION1,DEMRESKER,2021,2.5419
REGION1,DEMRESKER,2022,2.7215
REGION1,DEMRESKER,2023,3.4086
REGION1,DEMRESKER,2024,3.9954
REGION1,DEMRESKER,2025,4.5186
REGION1,DEMRESKER,2026,5.0402
REGION1,DEMRESKER,2027,5.4548
REGION1,DEMRESKER,2028,5.8185
REGION1,DEMRESKER,2029,6.1351
REGION1,DEMRESKER,2030,6.4084
REGION1,DEMRESKER,2031,6.1032
REGION1,DEMRESKER,2032,5.8126
REGION1,DEMRESKER,2033,5.5358
REGION1,DEMRESKER,2034,5.2722
REGION1,DEMRESKER,2035,5.0212
REGION1,DEMRESKER,2036,4.7821
REGION1,DEMRESKER,2037,4.5026
REGION1,DEMRESKER,2038,4.2882
REGION1,DEMRESKER,2039,4.084
REGION1,DEMRESKER,2040,3.8448
REGION1,DEMRESNGS,2020,181.0455
REGION1,DEMRESNGS,2021,175.2223
REGION1,DEMRESNGS,2022,188.2254
REGION1,DEMRESNGS,2023,237.2305
REGION1,DEMRESNGS,2024,283.177
REGION1,DEMRESNGS,2025,325.4482
REGION1,DEMRESNGS,2026,363.9672
REGION1,DEMRESNGS,2027,398.5699
REGION1,DEMRESNGS,2028,430.1647
REGION1,DEMRESNGS,2029,457.9892
REGION1,DEMRESNGS,2030,481.9261
REGION1,DEMRESNGS,2031,462.5389
REGION1,DEMRESNGS,2032,443.8125
REGION1,DEMRESNGS,2033,424.8913
REGION1,DEMRESNGS,2034,407.0186
REGION1,DEMRESNGS,2035,389.2023
REGION1,DEMRESNGS,2036,371.5863
REGION1,DEMRESNGS,2037,354.4015
REGION1,DEMRESNGS,2038,337.5599
REGION1,DEMRESNGS,2039,321.2875
REGION1,DEMRESNGS,2040,305.6106
REGION1,DEMRESNGS,2041,298.0519
REGION1,DEMRESNGS,2042,285.8273
REGION1,DEMRESNGS,2043,274.0884
REGION1,DEMRESNGS,2044,262.822
