r,t,y,NewCapacity
REGION1,DEMCOMNGS,2033,95.9394
REGION1,DEMCOMNGS,2034,96.596
REGION1,DEMCOMNGS,2035,97.3131
REGION1,DEMCOMNGS,2036,97.9293
REGION1,DEMCOMNGS,2037,98.4242
REGION1,DEMCOMNGS,2038,98.9192
REGION1,DEMCOMNGS,2039,99.4141
REGION1,DEMCOMNGS,2040,99.9192
REGION1,DEMCOMNGS,2041,103.2687
REGION1,DEMCOMNGS,2042,104.305
REGION1,DEMCOMNGS,2043,105.3414
REGION1,DEMCOMNGS,2044,106.3768
REGION1,DEMCOMNGS,2045,107.4131
REGION1,DEMCOMNGS,2046,108.4485
REGION1,DEMCOMNGS,2047,109.4848
REGION1,DEMCOMNGS,2048,110.5202
REGION1,DEMCOMNGS,2049,111.5566
REGION1,DEMCOMNGS,2050,112.5929
REGION1,DEMINDBIO,2020,161.6566
REGION1,DEMINDBIO,2021,162.3131
REGION1,DEMINDBIO,2022,162.7475
REGION1,DEMINDBIO,2023,163.4646
REGION1,DEMINDBIO,2024,164.2828
REGION1,DEMINDBIO,2025,163.7778
REGION1,DEMINDBIO,2026,163.5556
REGION1,DEMINDBIO,2027,163.4546
REGION1,DEMINDBIO,2028,163.3131
REGION1,DEMINDBIO,2029,162.7071
REGION1,DEMINDBIO,2030,161.9293
REGION1,DEMINDBIO,2031,160.9293
REGION1,DEMINDBIO,2032,159.7778
REGION1,DEMINDBIO,2033,158.4848
REGION1,DEMINDBIO,2034,156.9596
REGION1,DEMINDBIO,2035,155.6566
REGION1,DEMINDBIO,2036,154.3232
REGION1,DEMINDBIO,2037,153.0
REGION1,DEMINDBIO,2038,151.7273
REGION1,DEMINDBIO,2039,150.5252
REGION1,DEMINDBIO,2040,149.3636
REGION1,DEMINDBIO,2041,148.8606
REGION1,DEMINDBIO,2042,147.7546
REGION1,DEMINDBIO,2043,146.6475
REGION1,DEMINDBIO,2044,145.5404
REGION1,DEMINDBIO,2045,144.4343
REGION1,DEMINDBIO,2046,143.3273
REGION1,DEMINDBIO,2047,142.2212
REGION1,DEMINDBIO,2048,141.1141
REGION1,DEMINDBIO,2049,140.0081
REGION1,DEMINDBIO,2050,138.901
REGION1,DEMINDDSL,2020,109.5556
REGION1,DEMINDDSL,2021,109.2222
REGION1,DEMINDDSL,2022,108.4646
REGION1,DEMINDDSL,2023,108.0303
REGION1,DEMINDDSL,2024,108.4141
REGION1,DEMINDDSL,2025,109.2424
REGION1,DEMINDDSL,2026,110.5556
REGION1,DEMINDDSL,2027,111.7475
REGION1,DEMINDDSL,2028,112.3939
REGION1,DEMINDDSL,2029,112.4141
REGION1,DEMINDDSL,2030,112.505
REGION1,DEMINDDSL,2031,112.7778
REGION1,DEMINDDSL,2032,113.2525
REGION1,DEMINDDSL,2033,113.3838
REGION1,DEMINDDSL,2034,113.4444
REGION1,DEMINDDSL,2035,113.5758
REGION1,DEMINDDSL,2036,113.798
REGION1,DEMINDDSL,2037,114.1616
REGION1,DEMINDDSL,2038,114.6768
REGION1,DEMINDDSL,2039,115.3434
REGION1,DEMINDDSL,2040,116.1313
REGION1,DEMINDDSL,2041,115.7636
REGION1,DEMINDDSL,2042,116.0657
REGION1,DEMINDDSL,2043,116.3687
REGION1,DEMINDDSL,2044,116.6707
REGION1,DEMINDDSL,2045,116.9727
REGION1,DEMINDDSL,2046,117.2758
REGION1,DEMINDDSL,2047,117.5778
REGION1,DEMINDDSL,2048,117.8808
REGION1,DEMINDDSL,2049,118.1828
REGION1,DEMINDDSL,2050,118.4848
REGION1,DEMINDELCB02,2020,146.0911
REGION1,DEMINDELCB02,2021,146.4667
REGION1,DEMINDELCB02,2022,147.0011
REGION1,DEMINDELCB02,2023,147.8389
REGION1,DEMINDELCB02,2024,150.3378
REGION1,DEMINDELCB02,2025,153.3856
REGION1,DEMINDELCB02,2026,158.3256
REGION1,DEMINDELCB02,2027,158.2678
REGION1,DEMINDELCB02,2028,157.6033
REGION1,DEMINDELCB02,2029,156.7222
REGION1,DEMINDELCB02,2030,158.34
REGION1,DEMINDELCB02,2031,160.8822
REGION1,DEMINDELCB02,2032,163.1644
REGION1,DEMINDELCB02,2033,162.37
REGION1,DEMINDELCB02,2034,160.7811
REGION1,DEMINDELCB02,2035,159.4378
REGION1,DEMINDELCB02,2036,158.2389
REGION1,DEMINDELCB02,2037,157.1989
REGION1,DEMINDELCB02,2038,156.4911
REGION1,DEMINDELCB02,2039,155.7978
REGION1,DEMINDELCB02,2040,155.1044
REGION1,DEMINDELCB02,2041,155.1044
REGION1,DEMINDELCB02,2042,154.4732
REGION1,DEMINDELCB02,2043,153.8434
REGION1,DEMINDELCB02,2044,153.2122
REGION1,DEMINDELCB02,2045,152.581
REGION1,DEMINDELCB02,2046,151.9498
REGION1,DEMINDELCB02,2047,151.3186
REGION1,DEMINDELCB02,2048,150.6873
REGION1,DEMINDELCB02,2049,150.0561
