r,t,y,CapitalInvestment
REGION1,DEMTRADSL,2031,0.9192
REGION1,DEMTRADSL,2032,0.911
REGION1,DEMTRADSL,2033,0.9053
REGION1,DEMTRADSL,2034,0.8986
REGION1,DEMTRADSL,2035,0.8918
REGION1,DEMTRADSL,2036,0.8794
REGION1,DEMTRADSL,2037,0.8731
REGION1,DEMTRADSL,2038,0.8673
REGION1,DEMTRADSL,2039,0.8618
REGION1,DEMTRADSL,2040,0.8572
REGION1,DEMTRADSL,2041,0.8503
REGION1,DEMTRADSL,2042,0.8439
REGION1,DEMTRADSL,2043,0.8374
REGION1,DEMTRADSL,2044,0.8309
REGION1,DEMTRADSL,2045,0.8245
REGION1,DEMTRADSL,2046,0.818
REGION1,DEMTRADSL,2047,0.8115
REGION1,DEMTRADSL,2048,0.805
REGION1,DEMTRADSL,2049,0.7986
REGION1,DEMTRADSL,2050,0.7921
REGION1,DEMTRAELCB02,2020,0.0179
REGION1,DEMTRAELCB02,2021,0.0234
REGION1,DEMTRAELCB02,2022,0.03
REGION1,DEMTRAELCB02,2023,0.0381
REGION1,DEMTRAELCB02,2024,0.0471
REGION1,DEMTRAELCB02,2025,0.0586
REGION1,DEMTRAELCB02,2026,0.0703
REGION1,DEMTRAELCB02,2027,0.0828
REGION1,DEMTRAELCB02,2028,0.0955
REGION1,DEMTRAELCB02,2029,0.1096
REGION1,DEMTRAELCB02,2030,0.1255
REGION1,DEMTRAELCB02,2031,0.143
REGION1,DEMTRAELCB02,2032,0.1625
REGION1,DEMTRAELCB02,2033,0.185
REGION1,DEMTRAELCB02,2034,0.2074
REGION1,DEMTRAELCB02,2035,0.2317
REGION1,DEMTRAELCB02,2036,0.2578
REGION1,DEMTRAELCB02,2037,0.2859
REGION1,DEMTRAELCB02,2038,0.3166
REGION1,DEMTRAELCB02,2039,0.3488
REGION1,DEMTRAELCB02,2040,0.3816
REGION1,DEMTRAELCB02,2041,0.3943
REGION1,DEMTRAELCB02,2042,0.4199
REGION1,DEMTRAELCB02,2043,0.4455
REGION1,DEMTRAELCB02,2044,0.4711
REGION1,DEMTRAELCB02,2045,0.4967
REGION1,DEMTRAELCB02,2046,0.5224
REGION1,DEMTRAELCB02,2047,0.548
REGION1,DEMTRAELCB02,2048,0.5736
REGION1,DEMTRAELCB02,2049,0.5992
REGION1,DEMTRAELCB02,2050,0.6249
REGION1,DEMTRAGSL,2020,1.5513
REGION1,DEMTRAGSL,2021,1.5241
REGION1,DEMTRAGSL,2022,1.497
REGION1,DEMTRAGSL,2023,1.4683
REGION1,DEMTRAGSL,2024,1.4417
REGION1,DEMTRAGSL,2025,1.4168
REGION1,DEMTRAGSL,2026,1.3945
REGION1,DEMTRAGSL,2027,1.3736
REGION1,DEMTRAGSL,2028,1.3516
REGION1,DEMTRAGSL,2029,1.3274
REGION1,DEMTRAGSL,2030,1.303
REGION1,DEMTRAGSL,2031,1.2772
REGION1,DEMTRAGSL,2032,1.2511
REGION1,DEMTRAGSL,2033,1.2213
REGION1,DEMTRAGSL,2034,1.1895
REGION1,DEMTRAGSL,2035,1.1562
REGION1,DEMTRAGSL,2036,1.1214
REGION1,DEMTRAGSL,2037,1.0858
REGION1,DEMTRAGSL,2038,1.0493
REGION1,DEMTRAGSL,2039,1.0123
REGION1,DEMTRAGSL,2040,0.9758
REGION1,DEMTRAGSL,2041,0.9653
REGION1,DEMTRAGSL,2042,0.9352
REGION1,DEMTRAGSL,2043,0.9051
REGION1,DEMTRAGSL,2044,0.875
REGION1,DEMTRAGSL,2045,0.8449
REGION1,DEMTRAGSL,2046,0.8148
REGION1,DEMTRAGSL,2047,0.7847
REGION1,DEMTRAGSL,2048,0.7546
REGION1,DEMTRAGSL,2049,0.7245
REGION1,DEMTRAGSL,2050,0.6944
REGION1,DEMTRAHFO,2020,0.108
REGION1,DEMTRAHFO,2021,0.1056
REGION1,DEMTRAHFO,2022,0.103
REGION1,DEMTRAHFO,2023,0.1006
REGION1,DEMTRAHFO,2024,0.0985
REGION1,DEMTRAHFO,2025,0.0969
REGION1,DEMTRAHFO,2026,0.0955
REGION1,DEMTRAHFO,2027,0.0942
REGION1,DEMTRAHFO,2028,0.0929
REGION1,DEMTRAHFO,2029,0.0915
REGION1,DEMTRAHFO,2030,0.0902
REGION1,DEMTRAHFO,2031,0.089
REGION1,DEMTRAHFO,2032,0.0881
REGION1,DEMTRAHFO,2033,0.0869
REGION1,DEMTRAHFO,2034,0.0858
REGION1,DEMTRAHFO,2035,0.0846
REGION1,DEMTRAHFO,2036,0.0837
REGION1,DEMTRAHFO,2037,0.0828
REGION1,DEMTRAHFO,2038,0.082
REGION1,DEMTRAHFO,2039,0.0814
REGION1,DEMTRAHFO,2040,0.0809
REGION1,DEMTRAHFO,2041,0.0788
REGION1,DEMTRAHFO,2042,0.0777
REGION1,DEMTRAHFO,2043,0.0766
REGION1,DEMTRAHFO,2044,0.0756
REGION1,DEMTRAHFO,2045,0.0745
REGION1,DEMTRAHFO,2046,0.0734
REGION1,DEMTRAHFO,2047,0.0724
REGION1,DEMTRAHFO,2048,0.0713
REGION1,DEMTRAHFO,2049,0.0703
REGION1,DEMTRAHFO,2050,0.0692
REGION1,DEMTRAJFL,2020,0.3994
REGION1,DEMTRAJFL,2021,0.3928
REGION1,DEMTRAJFL,2022,0.39
REGION1,DEMTRAJFL,2023,0.3892
REGION1,DEMTRAJFL,2024,0.3912
REGION1,DEMTRAJFL,2025,0.3957
REGION1,DEMTRAJFL,2026,0.4008
REGION1,DEMTRAJFL,2027,0.4062
REGION1,DEMTRAJFL,2028,0.4104
REGION1,DEMTRAJFL,2029,0.4137
REGION1,DEMTRAJFL,2030,0.4175
REGION1,DEMTRAJFL,2031,0.4211
REGION1,DEMTRAJFL,2032,0.4254
REGION1,DEMTRAJFL,2033,0.4284
REGION1,DEMTRAJFL,2034,0.4312
REGION1,DEMTRAJFL,2035,0.4339
REGION1,DEMTRAJFL,2036,0.4367
REGION1,DEMTRAJFL,2037,0.4396
REGION1,DEMTRAJFL,2038,0.4426
REGION1,DEMTRAJFL,2039,0.446
REGION1,DEMTRAJFL,2040,0.4494
REGION1,DEMTRAJFL,2041,0.4535
REGION1,DEMTRAJFL,2042,0.4568
REGION1,DEMTRAJFL,2043,0.4602
REGION1,DEMTRAJFL,2044,0.4635
REGION1,DEMTRAJFL,2045,0.4668
REGION1,DEMTRAJFL,2046,0.4702
REGION1,DEMTRAJFL,2047,0.4735
REGION1,DEMTRAJFL,2048,0.4768
REGION1,DEMTRAJFL,2049,0.4801
REGION1,DEMTRAJFL,2050,0.4835
REGION1,DEMTRALPG,2020,0.0269
REGION1,DEMTRALPG,2021,0.0275
REGION1,DEMTRALPG,2022,0.0282
REGION1,DEMTRALPG,2023,0.0289
REGION1,DEMTRALPG,2024,0.0294
REGION1,DEMTRALPG,2025,0.0299
REGION1,DEMTRALPG,2026,0.0305
REGION1,DEMTRALPG,2027,0.031
REGION1,DEMTRALPG,2028,0.0316
REGION1,DEMTRALPG,2029,0.032
REGION1,DEMTRALPG,2030,0.0323
REGION1,DEMTRALPG,2031,0.0324
REGION1,DEMTRALPG,2032,0.0323
REGION1,DEMTRALPG,2033,0.0319
REGION1,DEMTRALPG,2034,0.0314
REGION1,DEMTRALPG,2035,0.0306
REGION1,DEMTRALPG,2036,0.0296
REGION1,DEMTRALPG,2037,0.0284
REGION1,DEMTRALPG,2038,0.0271
REGION1,DEMTRALPG,2039,0.0255
REGION1,DEMTRALPG,2040,0.0237
REGION1,DEMTRALPG,2041,0.0263
REGION1,DEMTRALPG,2042,0.0258
REGION1,DEMTRALPG,2043,0.0254
REGION1,DEMTRALPG,2044,0.0249
REGION1,DEMTRALPG,2045,0.0244
REGION1,DEMTRALPG,2046,0.024
REGION1,DEMTRALPG,2047,0.0235
REGION1,DEMTRALPG,2048,0.023
REGION1,DEMTRALPG,2049,0.0226
REGION1,DEMTRALPG,2050,0.0221
REGION1,DEMTRANGS,2020,0.0182
REGION1,DEMTRANGS,2021,0.0206
REGION1,DEMTRANGS,2022,0.0263
REGION1,DEMTRANGS,2023,0.0289
REGION1,DEMTRANGS,2024,0.032
REGION1,DEMTRANGS,2025,0.0359
REGION1,DEMTRANGS,2026,0.0401
REGION1,DEMTRANGS,2027,0.0447
REGION1,DEMTRANGS,2028,0.0521
REGION1,DEMTRANGS,2029,0.0564
REGION1,DEMTRANGS,2030,0.061
REGION1,DEMTRANGS,2031,0.0658
REGION1,DEMTRANGS,2032,0.0768
REGION1,DEMTRANGS,2033,0.0816
REGION1,DEMTRANGS,2034,0.0866
REGION1,DEMTRANGS,2035,0.0917
REGION1,DEMTRANGS,2036,0.1025
REGION1,DEMTRANGS,2037,0.1084
REGION1,DEMTRANGS,2038,0.1146
REGION1,DEMTRANGS,2039,0.1216
REGION1,DEMTRANGS,2040,0.1292
REGION1,DEMTRANGS,2041,0.1334
REGION1,DEMTRANGS,2042,0.1398
REGION1,DEMTRANGS,2043,0.1462
REGION1,DEMTRANGS,2044,0.1526
REGION1,DEMTRANGS,2045,0.159
REGION1,DEMTRANGS,2046,0.1654
REGION1,DEMTRANGS,2047,0.1718
REGION1,DEMTRANGS,2048,0.1782
REGION1,DEMTRANGS,2049,0.1846
REGION1,DEMTRANGS,2050,0.191
REGION1,IMPDSL,2020,2.2439
REGION1,IMPDSL,2021,2.2356
REGION1,IMPDSL,2022,2.2193
REGION1,IMPDSL,2023,2.206
REGION1,IMPDSL,2024,2.2098
REGION1,IMPDSL,2025,2.2192
REGION1,IMPDSL,2026,2.2364
REGION1,IMPDSL,2027,2.2538
REGION1,IMPDSL,2028,2.2612
REGION1,IMPDSL,2029,2.2617
REGION1,IMPDSL,2030,2.2652
REGION1,IMPDSL,2031,2.2698
REGION1,IMPDSL,2032,2.2729
REGION1,IMPDSL,2033,2.2749
REGION1,IMPDSL,2034,2.2756
REGION1,IMPDSL,2035,2.2767
REGION1,IMPDSL,2036,2.2731
REGION1,IMPDSL,2037,2.277
REGION1,IMPDSL,2038,2.2829
REGION1,IMPDSL,2039,2.2907
REGION1,IMPDSL,2040,2.3005
REGION1,IMPDSL,2041,2.2966
REGION1,IMPDSL,2042,2.2998
REGION1,IMPDSL,2043,2.3029
REGION1,IMPDSL,2044,2.3061
REGION1,IMPDSL,2045,2.3092
REGION1,IMPDSL,2046,2.3123
REGION1,IMPDSL,2047,2.3155
REGION1,IMPDSL,2048,2.3186
REGION1,IMPDSL,2049,2.3217
REGION1,IMPDSL,2050,2.3249
REGION1,IMPGSL,2020,1.5513
REGION1,IMPGSL,2021,1.5241
REGION1,IMPGSL,2022,1.497
REGION1,IMPGSL,2023,1.4683
REGION1,IMPGSL,2024,1.4417
REGION1,IMPGSL,2025,1.4168
REGION1,IMPGSL,2026,1.3945
REGION1,IMPGSL,2027,1.3736
REGION1,IMPGSL,2028,1.3516
REGION1,IMPGSL,2029,1.3274
REGION1,IMPGSL,2030,1.303
REGION1,IMPGSL,2031,1.2772
REGION1,IMPGSL,2032,1.2511
REGION1,IMPGSL,2033,1.2213
REGION1,IMPGSL,2034,1.1895
REGION1,IMPGSL,2035,1.1562
REGION1,IMPGSL,2036,1.1214
REGION1,IMPGSL,2037,1.0858
REGION1,IMPGSL,2038,1.0493
REGION1,IMPGSL,2039,1.0123
REGION1,IMPGSL,2040,0.9758
REGION1,IMPGSL,2041,0.9653
REGION1,IMPGSL,2042,0.9352
REGION1,IMPGSL,2043,0.9051
REGION1,IMPGSL,2044,0.875
REGION1,IMPGSL,2045,0.8449
REGION1,IMPGSL,2046,0.8148
REGION1,IMPGSL,2047,0.7847
REGION1,IMPGSL,2048,0.7546
REGION1,IMPGSL,2049,0.7245
REGION1,IMPGSL,2050,0.6944
REGION1,IMPHFO,2020,0.108
REGION1,IMPHFO,2021,0.1056
REGION1,IMPHFO,2022,0.103
REGION1,IMPHFO,2023,0.1006
REGION1,IMPHFO,2024,0.0985
REGION1,IMPHFO,2025,0.0969
REGION1,IMPHFO,2026,0.0955
REGION1,IMPHFO,2027,0.0942
REGION1,IMPHFO,2028,0.0929
REGION1,IMPHFO,2029,0.0915
REGION1,IMPHFO,2030,0.0902
REGION1,IMPHFO,2031,0.089
REGION1,IMPHFO,2032,0.0881
REGION1,IMPHFO,2033,0.0869
REGION1,IMPHFO,2034,0.0858
REGION1,IMPHFO,2035,0.0846
REGION1,IMPHFO,2036,0.0837
REGION1,IMPHFO,2037,0.0828
REGION1,IMPHFO,2038,0.082
REGION1,IMPHFO,2039,0.0814
REGION1,IMPHFO,2040,0.0809
REGION1,IMPHFO,2041,0.0788
REGION1,IMPHFO,2042,0.0777
REGION1,IMPHFO,2043,0.0766
REGION1,IMPHFO,2044,0.0756
REGION1,IMPHFO,2045,0.0745
REGION1,IMPHFO,2046,0.0734
REGION1,IMPHFO,2047,0.0724
REGION1,IMPHFO,2048,0.0713
REGION1,IMPHFO,2049,0.0703
REGION1,IMPHFO,2050,0.0692
REGION1,IMPJFL,2020,0.3994
REGION1,IMPJFL,2021,0.3928
REGION1,IMPJFL,2022,0.39
REGION1,IMPJFL,2023,0.3892
REGION1,IMPJFL,2024,0.3912
REGION1,IMPJFL,2025,0.3957
REGION1,IMPJFL,2026,0.4008
REGION1,IMPJFL,2027,0.4062
REGION1,IMPJFL,2028,0.4104
REGION1,IMPJFL,2029,0.4137
REGION1,IMPJFL,2030,0.4175
REGION1,IMPJFL,2031,0.4211
REGION1,IMPJFL,2032,0.4254
REGION1,IMPJFL,2033,0.4284
REGION1,IMPJFL,2034,0.4312
REGION1,IMPJFL,2035,0.4339
REGION1,IMPJFL,2036,0.4367
REGION1,IMPJFL,2037,0.4396
REGION1,IMPJFL,2038,0.4426
REGION1,IMPJFL,2039,0.446
REGION1,IMPJFL,2040,0.4494
REGION1,IMPJFL,2041,0.4535
REGION1,IMPJFL,2042,0.4568
REGION1,IMPJFL,2043,0.4602
REGION1,IMPJFL,2044,0.4635
REGION1,IMPJFL,2045,0.4668
REGION1,IMPJFL,2046,0.4702
REGION1,IMPJFL,2047,0.4735
REGION1,IMPJFL,2048,0.4768
REGION1,IMPJFL,2049,0.4801
REGION1,IMPJFL,2050,0.4835
REGION1,IMPKER,2020,0.1153
REGION1,IMPKER,2021,0.1177
REGION1,IMPKER,2022,0.1198
REGION1,IMPKER,2023,0.1216
REGION1,IMPKER,2024,0.1232
REGION1,IMPKER,2025,0.1247
REGION1,IMPKER,2026,0.1266
REGION1,IMPKER,2027,0.1284
REGION1,IMPKER,2028,0.1304
REGION1,IMPKER,2029,0.1324
REGION1,IMPKER,2030,0.1342
REGION1,IMPKER,2031,0.1359
REGION1,IMPKER,2032,0.1375
REGION1,IMPKER,2033,0.1389
REGION1,IMPKER,2034,0.1404
REGION1,IMPKER,2035,0.1418
REGION1,IMPKER,2036,0.1431
REGION1,IMPKER,2037,0.1441
REGION1,IMPKER,2038,0.1453
REGION1,IMPKER,2039,0.1462
REGION1,IMPKER,2040,0.1471
REGION1,IMPKER,2041,0.1434
REGION1,IMPKER,2042,0.1453
REGION1,IMPKER,2043,0.1472
REGION1,IMPKER,2044,0.1491
REGION1,IMPKER,2045,0.151
REGION1,IMPKER,2046,0.1529
REGION1,IMPKER,2047,0.1548
REGION1,IMPKER,2048,0.1567
REGION1,IMPKER,2049,0.1586
REGION1,IMPKER,2050,0.1605
REGION1,IMPLPG,2020,0.0269
REGION1,IMPLPG,2021,0.0275
REGION1,IMPLPG,2022,0.0282
REGION1,IMPLPG,2023,0.0289
REGION1,IMPLPG,2024,0.0294
REGION1,IMPLPG,2025,0.0299
REGION1,IMPLPG,2026,0.0305
REGION1,IMPLPG,2027,0.031
REGION1,IMPLPG,2028,0.0316
REGION1,IMPLPG,2029,0.032
REGION1,IMPLPG,2030,0.0323
REGION1,IMPLPG,2031,0.0324
REGION1,IMPLPG,2032,0.0323
REGION1,IMPLPG,2033,0.0319
REGION1,IMPLPG,2034,0.0314
REGION1,IMPLPG,2035,0.0306
REGION1,IMPLPG,2036,0.0296
REGION1,IMPLPG,2037,0.0284
REGION1,IMPLPG,2038,0.0271
REGION1,IMPLPG,2039,0.0255
REGION1,IMPLPG,2040,0.0237
REGION1,IMPLPG,2041,0.0263
REGION1,IMPLPG,2042,0.0258
REGION1,IMPLPG,2043,0.0254
REGION1,IMPLPG,2044,0.0249
REGION1,IMPLPG,2045,0.0244
REGION1,IMPLPG,2046,0.024
REGION1,IMPLPG,2047,0.0235
REGION1,IMPLPG,2048,0.023
REGION1,IMPLPG,2049,0.0226
REGION1,IMPLPG,2050,0.0221
REGION1,LNDAGRBC1C01,2020,2.8043
REGION1,LNDAGRBC1C01,2023,0.0
REGION1,LNDAGRBC1C01,2024,0.0
REGION1,LNDAGRBC1C01,2025,0.0
REGION1,LNDAGRBC1C01,2026,0.0
REGION1,LNDAGRBC1C01,2027,0.0
REGION1,LNDAGRBC1C01,2028,0.0001
REGION1,LNDAGRBC1C01,2030,0.0001
REGION1,LNDAGRBC1C01,2031,0.0001
REGION1,LNDAGRBC1C01,2032,0.0001
REGION1,LNDAGRBC1C01,2033,0.0001
REGION1,LNDAGRBC1C01,2034,0.0001
REGION1,LNDAGRBC1C01,2035,2.8044
REGION1,LNDAGRBC1C01,2038,0.0001
REGION1,LNDAGRBC1C01,2039,0.0001
REGION1,LNDAGRBC1C01,2040,0.0001
REGION1,LNDAGRBC1C01,2041,0.0001
REGION1,LNDAGRBC1C01,2042,0.0001
REGION1,LNDAGRBC1C01,2043,0.0002
REGION1,LNDAGRBC1C01,2045,0.0001
REGION1,LNDAGRBC1C01,2046,0.0001
REGION1,LNDAGRBC1C01,2047,0.0001
REGION1,LNDAGRBC1C01,2048,0.0001
REGION1,LNDAGRBC1C01,2049,0.0001
REGION1,LNDAGRBC1C01,2050,2.8045
REGION1,LNDAGRBC1C02,2020,0.2715
REGION1,LNDAGRBC1C02,2024,0.0
REGION1,LNDAGRBC1C02,2025,0.0
REGION1,LNDAGRBC1C02,2026,0.0
REGION1,LNDAGRBC1C02,2027,0.0
REGION1,LNDAGRBC1C02,2028,0.0001
REGION1,LNDAGRBC1C02,2031,0.0
REGION1,LNDAGRBC1C02,2032,0.0
REGION1,LNDAGRBC1C02,2033,0.0
REGION1,LNDAGRBC1C02,2034,0.0
REGION1,LNDAGRBC1C02,2035,0.2717
REGION1,LNDAGRBC1C02,2039,0.0001
REGION1,LNDAGRBC1C02,2040,0.0001
REGION1,LNDAGRBC1C02,2041,0.0001
REGION1,LNDAGRBC1C02,2042,0.0001
REGION1,LNDAGRBC1C02,2043,0.0002
REGION1,LNDAGRBC1C02,2046,0.0001
REGION1,LNDAGRBC1C02,2047,0.0001
REGION1,LNDAGRBC1C02,2048,0.0001
REGION1,LNDAGRBC1C02,2049,0.0001
REGION1,LNDAGRBC1C02,2050,0.2717
REGION1,LNDAGRBC1C03,2020,0.3848
REGION1,LNDAGRBC1C03,2021,0.0523
REGION1,LNDAGRBC1C03,2023,0.002
REGION1,LNDAGRBC1C03,2024,0.0025
REGION1,LNDAGRBC1C03,2025,0.0004
REGION1,LNDAGRBC1C03,2026,0.0024
REGION1,LNDAGRBC1C03,2027,0.0011
REGION1,LNDAGRBC1C03,2035,0.258
REGION1,LNDAGRBC1C03,2036,0.0558
REGION1,LNDAGRBC1C03,2037,0.0029
REGION1,LNDAGRBC1C03,2038,0.004
REGION1,LNDAGRBC1C03,2039,0.0037
REGION1,LNDAGRBC1C03,2040,0.0019
REGION1,LNDAGRBC1C03,2041,0.0049
REGION1,LNDAGRBC1C03,2042,0.0033
REGION1,LNDAGRBC1C03,2043,0.0024
REGION1,LNDAGRBC1C03,2044,0.0021
REGION1,LNDAGRBC1C03,2045,0.0022
REGION1,LNDAGRBC1C03,2046,0.0021
REGION1,LNDAGRBC1C03,2047,0.0022
REGION1,LNDAGRBC1C03,2048,0.0022
REGION1,LNDAGRBC1C03,2049,0.0021
REGION1,LNDAGRBC1C03,2050,0.2601
REGION1,LNDAGRBC1C04,2020,0.1086
REGION1,LNDAGRBC1C04,2021,0.0001
REGION1,LNDAGRBC1C04,2022,0.0001
REGION1,LNDAGRBC1C04,2023,0.0001
REGION1,LNDAGRBC1C04,2024,0.0001
REGION1,LNDAGRBC1C04,2025,0.0001
REGION1,LNDAGRBC1C04,2026,0.0001
REGION1,LNDAGRBC1C04,2027,0.0001
REGION1,LNDAGRBC1C04,2028,0.0001
REGION1,LNDAGRBC1C04,2029,0.0001
REGION1,LNDAGRBC1C04,2030,0.0001
REGION1,LNDAGRBC1C04,2031,0.0001
REGION1,LNDAGRBC1C04,2032,0.0001
REGION1,LNDAGRBC1C04,2033,0.0001
REGION1,LNDAGRBC1C04,2034,0.0001
REGION1,LNDAGRBC1C04,2035,0.1087
REGION1,LNDAGRBC1C04,2036,0.0002
REGION1,LNDAGRBC1C04,2037,0.0002
REGION1,LNDAGRBC1C04,2038,0.0002
REGION1,LNDAGRBC1C04,2039,0.0002
REGION1,LNDAGRBC1C04,2040,0.0002
REGION1,LNDAGRBC1C04,2041,0.0002
REGION1,LNDAGRBC1C04,2042,0.0002
REGION1,LNDAGRBC1C04,2043,0.0002
REGION1,LNDAGRBC1C04,2044,0.0002
REGION1,LNDAGRBC1C04,2045,0.0002
REGION1,LNDAGRBC1C04,2046,0.0002
REGION1,LNDAGRBC1C04,2047,0.0002
REGION1,LNDAGRBC1C04,2048,0.0002
REGION1,LNDAGRBC1C04,2049,0.0002
REGION1,LNDAGRBC1C04,2050,0.1088
REGION1,LNDAGRBC1C05,2020,5.6078
REGION1,LNDAGRBC1C05,2028,0.0768
REGION1,LNDAGRBC1C05,2035,5.5942
REGION1,LNDAGRBC1C05,2043,0.0568
REGION1,LNDAGRBC1C05,2050,5.5775
REGION1,LNDAGRBC1C06,2020,0.0345
REGION1,LNDAGRBC1C06,2021,0.0
REGION1,LNDAGRBC1C06,2022,0.0
REGION1,LNDAGRBC1C06,2023,0.0
REGION1,LNDAGRBC1C06,2024,0.0
REGION1,LNDAGRBC1C06,2025,0.0
REGION1,LNDAGRBC1C06,2026,0.0
REGION1,LNDAGRBC1C06,2027,0.0
REGION1,LNDAGRBC1C06,2028,0.0
REGION1,LNDAGRBC1C06,2029,0.0
REGION1,LNDAGRBC1C06,2030,0.0
REGION1,LNDAGRBC1C06,2031,0.0
REGION1,LNDAGRBC1C06,2032,0.0
REGION1,LNDAGRBC1C06,2033,0.0
REGION1,LNDAGRBC1C06,2034,0.0
REGION1,LNDAGRBC1C06,2035,0.0345
REGION1,LNDAGRBC1C06,2036,0.0
REGION1,LNDAGRBC1C06,2037,0.0
REGION1,LNDAGRBC1C06,2038,0.0
REGION1,LNDAGRBC1C06,2039,0.0
REGION1,LNDAGRBC1C06,2040,0.0
REGION1,LNDAGRBC1C06,2041,0.0
REGION1,LNDAGRBC1C06,2042,0.0
REGION1,LNDAGRBC1C06,2043,0.0
REGION1,LNDAGRBC1C06,2044,0.0
REGION1,LNDAGRBC1C06,2045,0.0
REGION1,LNDAGRBC1C06,2046,0.0
REGION1,LNDAGRBC1C06,2047,0.0
REGION1,LNDAGRBC1C06,2048,0.0
REGION1,LNDAGRBC1C06,2049,0.0
REGION1,LNDAGRBC1C06,2050,0.0345
REGION1,LNDAGRBC1C07,2020,0.1319
REGION1,LNDAGRBC1C07,2021,0.0
REGION1,LNDAGRBC1C07,2022,0.0
REGION1,LNDAGRBC1C07,2023,0.0
REGION1,LNDAGRBC1C07,2024,0.0
REGION1,LNDAGRBC1C07,2025,0.0
REGION1,LNDAGRBC1C07,2026,0.0
REGION1,LNDAGRBC1C07,2027,0.0
REGION1,LNDAGRBC1C07,2028,0.0
REGION1,LNDAGRBC1C07,2029,0.0
REGION1,LNDAGRBC1C07,2030,0.0
REGION1,LNDAGRBC1C07,2031,0.0
REGION1,LNDAGRBC1C07,2032,0.0
REGION1,LNDAGRBC1C07,2033,0.0
REGION1,LNDAGRBC1C07,2034,0.0
REGION1,LNDAGRBC1C07,2035,0.1319
REGION1,LNDAGRBC1C07,2036,0.0
REGION1,LNDAGRBC1C07,2037,0.0
REGION1,LNDAGRBC1C07,2038,0.0
REGION1,LNDAGRBC1C07,2039,0.0
REGION1,LNDAGRBC1C07,2040,0.0
REGION1,LNDAGRBC1C07,2041,0.0
REGION1,LNDAGRBC1C07,2042,0.0
REGION1,LNDAGRBC1C07,2043,0.0
REGION1,LNDAGRBC1C07,2044,0.0001
REGION1,LNDAGRBC1C07,2045,0.0001
REGION1,LNDAGRBC1C07,2046,0.0001
REGION1,LNDAGRBC1C07,2047,0.0001
REGION1,LNDAGRBC1C07,2048,0.0001
REGION1,LNDAGRBC1C07,2049,0.0001
REGION1,LNDAGRBC1C07,2050,0.1319
REGION1,LNDALFHRBC1,2022,24.1132
REGION1,LNDALFHRBC1,2023,25.0567
REGION1,LNDALFHRBC1,2024,25.0567
REGION1,LNDALFHRBC1,2025,24.1132
REGION1,LNDALFHRBC1,2026,25.0578
REGION1,LNDALFHRBC1,2027,25.0567
REGION1,LNDALFHRBC1,2028,1053.5239
REGION1,LNDALFHRBC1,2029,24.114
REGION1,LNDALFHRBC1,2030,25.0567
REGION1,LNDALFHRBC1,2031,25.0559
REGION1,LNDALFHRBC1,2032,24.114
REGION1,LNDALFHRBC1,2033,25.0567
REGION1,LNDALFHRBC1,2034,25.0559
REGION1,LNDALFHRBC1,2035,25.0567
REGION1,LNDALFHRBC1,2036,0.9428
REGION1,LNDALFHRBC1,2037,25.9987
REGION1,LNDALFHRBC1,2038,26.9422
REGION1,LNDALFHRBC1,2039,25.9995
REGION1,LNDALFHRBC1,2040,25.9987
REGION1,LNDALFHRBC1,2041,26.9434
REGION1,LNDALFHRBC1,2042,26.9422
REGION1,LNDALFHRBC1,2043,1054.4666
REGION1,LNDALFHRBC1,2044,25.9995
REGION1,LNDALFHRBC1,2045,26.9422
REGION1,LNDALFHRBC1,2046,25.9987
REGION1,LNDALFHRBC1,2047,25.9995
REGION1,LNDALFHRBC1,2048,26.9422
REGION1,LNDALFHRBC1,2049,26.9415
REGION1,LNDALFHRBC1,2050,25.9995
REGION1,LNDALFLRBC1,2020,217.1357
REGION1,LNDALFLRBC1,2021,17.3174
REGION1,LNDBARBC1,2020,1.4984
REGION1,LNDBARBC1,2021,1.4984
REGION1,LNDBARBC1,2022,1.4984
REGION1,LNDBARBC1,2023,1.4984
REGION1,LNDBARBC1,2024,1.4984
REGION1,LNDBARBC1,2025,1.4984
REGION1,LNDBARBC1,2026,1.4984
REGION1,LNDBARBC1,2027,1.4984
REGION1,LNDBARBC1,2028,1.4984
REGION1,LNDBARBC1,2029,1.4984
REGION1,LNDBARBC1,2030,1.4984
REGION1,LNDBARBC1,2031,1.4984
REGION1,LNDBARBC1,2032,1.4984
REGION1,LNDBARBC1,2033,1.4984
REGION1,LNDBARBC1,2034,1.4984
REGION1,LNDBARBC1,2035,1.4984
REGION1,LNDBARBC1,2036,1.4984
REGION1,LNDBARBC1,2037,1.4984
REGION1,LNDBARBC1,2038,1.4984
REGION1,LNDBARBC1,2039,1.4984
REGION1,LNDBARBC1,2040,1.4984
REGION1,LNDBARBC1,2041,1.4984
REGION1,LNDBARBC1,2042,1.4984
REGION1,LNDBARBC1,2043,1.4984
REGION1,LNDBARBC1,2044,1.4984
REGION1,LNDBARBC1,2045,1.4984
REGION1,LNDBARBC1,2046,1.4984
REGION1,LNDBARBC1,2047,1.4984
REGION1,LNDBARBC1,2048,1.4984
REGION1,LNDBARBC1,2049,1.4984
REGION1,LNDBARBC1,2050,1.4984
REGION1,LNDBLTBC1,2020,0.0373
REGION1,LNDBLTBC1,2021,0.0377
REGION1,LNDBLTBC1,2022,0.0381
REGION1,LNDBLTBC1,2023,0.0385
