r,t,y,CapitalInvestment
REGION1,DEMAGRGWTBC1,2042,0.0058
REGION1,DEMAGRGWTBC1,2043,0.0058
REGION1,DEMAGRGWTBC1,2044,0.0059
REGION1,DEMAGRGWTBC1,2045,0.006
REGION1,DEMAGRGWTBC1,2046,0.0061
REGION1,DEMAGRGWTBC1,2047,0.0061
REGION1,DEMAGRGWTBC1,2048,0.0062
REGION1,DEMAGRGWTBC1,2049,0.0063
REGION1,DEMAGRGWTBC1,2050,0.0063
REGION1,DEMAGRSURBC1,2022,0.0042
REGION1,DEMAGRSURBC1,2026,0.0044
REGION1,DEMCOMBIO,2020,0.0012
REGION1,DEMCOMBIO,2021,0.0017
REGION1,DEMCOMBIO,2022,0.0022
REGION1,DEMCOMBIO,2023,0.0026
REGION1,DEMCOMBIO,2024,0.0031
REGION1,DEMCOMBIO,2025,0.0035
REGION1,DEMCOMBIO,2026,0.004
REGION1,DEMCOMBIO,2027,0.0045
REGION1,DEMCOMBIO,2028,0.0049
REGION1,DEMCOMBIO,2029,0.0055
REGION1,DEMCOMBIO,2030,0.0059
REGION1,DEMCOMBIO,2031,0.0064
REGION1,DEMCOMBIO,2032,0.0068
REGION1,DEMCOMBIO,2033,0.0072
REGION1,DEMCOMBIO,2034,0.0076
REGION1,DEMCOMBIO,2035,0.008
REGION1,DEMCOMBIO,2036,0.0084
REGION1,DEMCOMBIO,2037,0.0087
REGION1,DEMCOMBIO,2038,0.0091
REGION1,DEMCOMBIO,2039,0.0094
REGION1,DEMCOMBIO,2040,0.0098
REGION1,DEMCOMBIO,2041,0.0092
REGION1,DEMCOMBIO,2042,0.0096
REGION1,DEMCOMBIO,2043,0.0099
REGION1,DEMCOMBIO,2044,0.0102
REGION1,DEMCOMBIO,2045,0.0105
REGION1,DEMCOMBIO,2046,0.0108
REGION1,DEMCOMBIO,2047,0.0112
REGION1,DEMCOMBIO,2048,0.0115
REGION1,DEMCOMBIO,2049,0.0118
REGION1,DEMCOMBIO,2050,0.0121
